Volatility 3 Framework 2.26.2

Offset	Proto	LocalAddr	LocalPort	ForeignAddr	ForeignPort	State	PID	Owner	Created

0x13d48f540	TCPv4	192.168.10.146	54279	151.101.116.106	443	ESTABLISHED	-	-	N/A
0x13d518710	UDPv4	0.0.0.0	5355	*	0		1160	svchost.exe	2020-04-20 23:23:00.000000 UTC
0x13d518710	UDPv6	::	5355	*	0		1160	svchost.exe	2020-04-20 23:23:00.000000 UTC
0x13d636ee0	TCPv4	0.0.0.0	49156	0.0.0.0	0	LISTENING	2032	svchost.exe	-
0x13d63eac0	TCPv4	0.0.0.0	49156	0.0.0.0	0	LISTENING	2032	svchost.exe	-
0x13d63eac0	TCPv6	::	49156	::	0	LISTENING	2032	svchost.exe	-
0x13d640800	UDPv4	0.0.0.0	0	*	0		2032	svchost.exe	2020-04-20 22:44:40.000000 UTC
0x13d640800	UDPv6	::	0	*	0		2032	svchost.exe	2020-04-20 22:44:40.000000 UTC
0x13d640ec0	UDPv4	0.0.0.0	0	*	0		2032	svchost.exe	2020-04-20 22:44:40.000000 UTC
0x13d73d730	TCPv4	0.0.0.0	3389	0.0.0.0	0	LISTENING	1160	svchost.exe	-
0x13d73d730	TCPv6	::	3389	::	0	LISTENING	1160	svchost.exe	-
0x13d7919f0	TCPv4	192.168.10.146	139	0.0.0.0	0	LISTENING	4	System	-
0x13d7c3140	TCPv4	0.0.0.0	3389	0.0.0.0	0	LISTENING	1160	svchost.exe	-
0x13d80b500	TCPv4	192.168.10.146	49174	172.253.122.188	5228	FIN_WAIT2	-	-	N/A
0x13d882470	UDPv4	0.0.0.0	0	*	0		1160	svchost.exe	2020-04-20 23:23:00.000000 UTC
0x13d882470	UDPv6	::	0	*	0		1160	svchost.exe	2020-04-20 23:23:00.000000 UTC
0x13d8aeac0	TCPv4	0.0.0.0	49154	0.0.0.0	0	LISTENING	112	svchost.exe	-
0x13d8aeac0	TCPv6	::	49154	::	0	LISTENING	112	svchost.exe	-
0x13d986ba0	UDPv4	0.0.0.0	500	*	0		112	svchost.exe	2020-04-20 22:44:39.000000 UTC
0x13d986ba0	UDPv6	::	500	*	0		112	svchost.exe	2020-04-20 22:44:39.000000 UTC
0x13d994ec0	UDPv4	0.0.0.0	4500	*	0		112	svchost.exe	2020-04-20 22:44:39.000000 UTC
0x13d99fa40	UDPv4	0.0.0.0	4500	*	0		112	svchost.exe	2020-04-20 22:44:39.000000 UTC
0x13d99fa40	UDPv6	::	4500	*	0		112	svchost.exe	2020-04-20 22:44:39.000000 UTC
0x13d9aaec0	UDPv4	0.0.0.0	0	*	0		112	svchost.exe	2020-04-20 22:44:39.000000 UTC
0x13d9aaec0	UDPv6	::	0	*	0		112	svchost.exe	2020-04-20 22:44:39.000000 UTC
0x13d9b3110	UDPv4	0.0.0.0	0	*	0		112	svchost.exe	2020-04-20 22:44:39.000000 UTC
0x13d9d5560	UDPv6	fe80::71df:b787:f7f1:88ae	1900	*	0		2944	svchost.exe	2020-04-20 23:22:57.000000 UTC
0x13da58d20	TCPv4	0.0.0.0	49154	0.0.0.0	0	LISTENING	112	svchost.exe	-
0x13da873a0	TCPv4	0.0.0.0	135	0.0.0.0	0	LISTENING	772	svchost.exe	-
0x13da96630	TCPv4	0.0.0.0	135	0.0.0.0	0	LISTENING	772	svchost.exe	-
0x13da96630	TCPv6	::	135	::	0	LISTENING	772	svchost.exe	-
0x13daa2010	TCPv4	0.0.0.0	49152	0.0.0.0	0	LISTENING	408	wininit.exe	-
0x13dab2ee0	TCPv4	0.0.0.0	49158	0.0.0.0	0	LISTENING	536	lsass.exe	-
0x13db16720	TCPv4	0.0.0.0	49153	0.0.0.0	0	LISTENING	860	svchost.exe	-
0x13db19ee0	TCPv4	0.0.0.0	49153	0.0.0.0	0	LISTENING	860	svchost.exe	-
0x13db19ee0	TCPv6	::	49153	::	0	LISTENING	860	svchost.exe	-
0x13e3c5010	TCPv4	0.0.0.0	49158	0.0.0.0	0	LISTENING	536	lsass.exe	-
0x13e3c5010	TCPv6	::	49158	::	0	LISTENING	536	lsass.exe	-
0x13e40d110	UDPv4	192.168.10.146	137	*	0		4	System	2020-04-20 23:23:00.000000 UTC
0x13e64a010	UDPv4	127.0.0.1	1900	*	0		2944	svchost.exe	2020-04-20 23:22:58.000000 UTC
0x13e6e1560	UDPv4	192.168.10.146	57481	*	0		2944	svchost.exe	2020-04-20 23:22:58.000000 UTC
0x13e6fca00	UDPv4	0.0.0.0	5355	*	0		1160	svchost.exe	2020-04-20 23:23:00.000000 UTC
0x13e71cec0	UDPv6	fe80::71df:b787:f7f1:88ae	57479	*	0		2944	svchost.exe	2020-04-20 23:22:58.000000 UTC
0x13e742bc0	UDPv6	fe80::71df:b787:f7f1:88ae	546	*	0		860	svchost.exe	2020-04-20 23:22:58.000000 UTC
0x13e76e590	UDPv4	0.0.0.0	5353	*	0		3384	chrome.exe	2020-04-20 23:23:05.000000 UTC
0x13e782760	UDPv4	127.0.0.1	57482	*	0		2944	svchost.exe	2020-04-20 23:22:58.000000 UTC
0x13e8e2c60	TCPv4	0.0.0.0	49155	0.0.0.0	0	LISTENING	472	services.exe	-
0x13e8e2c60	TCPv6	::	49155	::	0	LISTENING	472	services.exe	-
0x13e932c30	TCPv4	0.0.0.0	49155	0.0.0.0	0	LISTENING	472	services.exe	-
0x13ec87cd0	TCPv4	192.168.10.146	54282	172.253.63.188	443	ESTABLISHED	-	-	N/A
0x13ecdc010	UDPv4	0.0.0.0	49725	*	0		3604	chrome.exe	2020-04-20 23:24:22.000000 UTC
0x13ece73b0	TCPv4	192.168.10.146	54281	13.35.82.31	443	ESTABLISHED	-	-	N/A
0x13ece76f0	TCPv4	192.168.10.146	54277	172.253.63.188	5228	FIN_WAIT2	-	-	N/A
0x13ecf8010	TCPv4	192.168.10.146	54280	13.35.82.102	443	ESTABLISHED	-	-	N/A
0x13ed09010	UDPv4	0.0.0.0	57162	*	0		3604	chrome.exe	2020-04-20 23:24:22.000000 UTC
0x13ed58ad0	UDPv6	::1	1900	*	0		2944	svchost.exe	2020-04-20 23:22:58.000000 UTC
0x13ee46590	UDPv4	192.168.10.146	1900	*	0		2944	svchost.exe	2020-04-20 23:22:58.000000 UTC
0x13eedbec0	UDPv4	0.0.0.0	500	*	0		112	svchost.exe	2020-04-20 22:44:39.000000 UTC
0x13efe9da0	TCPv4	0.0.0.0	49152	0.0.0.0	0	LISTENING	408	wininit.exe	-
0x13efe9da0	TCPv6	::	49152	::	0	LISTENING	408	wininit.exe	-
0x13f2ceb10	UDPv4	0.0.0.0	5353	*	0		3384	chrome.exe	2020-04-20 23:23:05.000000 UTC
0x13f2ceb10	UDPv6	::	5353	*	0		3384	chrome.exe	2020-04-20 23:23:05.000000 UTC
0x13f2e5010	TCPv4	192.168.10.146	54284	13.107.21.200	443	CLOSED	-	-	N/A
0x13f304280	TCPv4	192.168.10.146	54283	13.107.21.200	443	CLOSED	-	-	N/A
0x13f645cb0	UDPv4	0.0.0.0	57900	*	0		3604	chrome.exe	2020-04-20 23:23:03.000000 UTC
0x13fa55dc0	UDPv6	::1	57480	*	0		2944	svchost.exe	2020-04-20 23:22:58.000000 UTC
0x13fc27ad0	TCPv4	0.0.0.0	445	0.0.0.0	0	LISTENING	4	System	-
0x13fc27ad0	TCPv6	::	445	::	0	LISTENING	4	System	-
0x13fe91c70	UDPv4	192.168.10.146	138	*	0		4	System	2020-04-20 23:23:00.000000 UTC
